|title|language|certificate_no|certified_duration|type_of_film|producer_name|production_house|certificate_type|format|certificate_date|duration_in_seconds
0|COMMANDO|ASSAMESE WITH PARTLY HINDI|DIL/1/3/2021-GUW|0 days 01:27:18|Digital|Rekha Chamuah|R.C. FILMS PRODUCTION|U|1|2021-03-02|5238
1|DEUTA|Assamese|DIL/1/8/2021-GUW|0 days 01:22:54|Digital|Dishan Dholua|-|U|1|2021-04-29|4974
2|KRANTI|Assamese|DIL/1/9/2021-GUW|0 days 01:36:08|Digital|Rajeeb Kumar Lahkar|JAI MAA KAMAKHYA FILM|U|1|2021-06-23|5768
3|BOROXUN : SONGS FOR RAIN|ASSAMESE WITH ENGLISH SUBTITLES|DIL/1/10/2021-GUW|0 days 01:28:57|Digital|Jemini Phukan|Saj Entertainment|U|1|2021-08-02|5337
4|CHANDRAWALI|Assamese|DIL/1/12/2021-GUW|0 days 02:08:00|Theatrical|Bolin Sarmah|A B PRODUCTION|U|1|2021-08-30|7680
5|DEUTA... I MISS YOU|Assamese|DIL/1/14/2021-GUW|0 days 01:30:17|Theatrical|Bachchu Roy|GOURI FILMS|U|1|2021-09-03|5417
6|AVATARAN|Assamese|DIL/1/15/2021-GUW|0 days 02:29:15|Theatrical|Tarunabh Dutta|TD Film Studio|U|1|2021-09-08|8955
7|CHANDRA SURJYA AADI|Assamese|DIL/1/16/2021-GUW|0 days 01:28:26|Theatrical|Ramen Gogoi|R G PRODUCTION|U|1|2021-09-13|5306
8|TAMASWINI|Assamese|DIL/1/18/2021-GUW|0 days 01:25:54|Theatrical|Anamika Kalita|-|U|1|2021-09-24|5154
9|BOGI THE WARRIOR|Assamese|DIL/1/19/2021-GUW|0 days 01:14:17|Theatrical|Pranab Jyoti Sarmah|Kuhi Production|U|1|2021-10-06|4457
10|KHYONACHAR|Assamese|DIL/1/20/2021-GUW|0 days 01:34:25|Theatrical|Sourav Baishya|FRAME IN STUDIO|U|1|2021-11-08|5665
